"event","experiment time","system time","system time text"
"START",0.000000000E0,1740764183.267,"2025-02-28 19:36:23.267 UTC+02:00"
"PAUSE",4.046531410E2,1740764587.921,"2025-02-28 19:43:07.921 UTC+02:00"
