"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.145088872E2,6.778462500E1,2.482042167E1,2.315752719E2,9.795163870E-1,1.748999977E1,1.600000024E0,8.699999809E0
2.155089327E2,6.778462833E1,2.482044167E1,2.315752879E2,9.810605645E-1,6.343999863E1,1.600000024E0,8.699999809E0
2.165088490E2,6.778462833E1,2.482046667E1,2.313753178E2,9.800311327E-1,5.972999954E1,1.600000024E0,8.699999809E0
2.175085634E2,6.778463333E1,2.482049333E1,2.314753379E2,9.584127665E-1,6.084000015E1,1.600000024E0,8.300000191E0
2.185099690E2,6.778463667E1,2.482052500E1,2.313753680E2,9.589275122E-1,5.786000061E1,1.600000024E0,8.199999809E0
2.195117111E2,6.778464000E1,2.482055000E1,2.311753900E2,9.872372150E-1,4.186999893E1,1.500000000E0,8.399999619E0
2.205083786E2,6.778464833E1,2.482057333E1,2.310753983E2,9.815752506E-1,3.602000046E1,1.600000024E0,8.500000000E0
2.215087259E2,6.778465167E1,2.482059500E1,2.309754163E2,9.784869552E-1,5.368000031E1,1.600000024E0,8.800000191E0
2.225110906E2,6.778465500E1,2.482061833E1,2.306754364E2,1.014002800E0,6.543000031E1,1.600000024E0,9.100000381E0
2.235081755E2,6.778465667E1,2.482064833E1,2.303754683E2,1.036135793E0,7.250000000E1,1.600000024E0,9.100000381E0
2.245086563E2,6.778466000E1,2.482067333E1,2.303754904E2,1.069078088E0,6.604000092E1,1.600000024E0,8.899999619E0
2.255087382E2,6.778466500E1,2.482069167E1,2.300755005E2,1.009884953E0,4.781000137E1,1.600000024E0,8.800000191E0
2.265083398E2,6.778466833E1,2.482070833E1,2.299755126E2,9.985610843E-1,3.663000107E1,1.600000024E0,8.699999809E0
2.275088132E2,6.778467167E1,2.482072167E1,2.297755207E2,9.671630263E-1,2.725000000E1,1.600000024E0,8.800000191E0
2.285082352E2,6.778467500E1,2.482074167E1,2.295755367E2,9.656189084E-1,4.352999878E1,1.600000024E0,8.699999809E0
2.295083083E2,6.778467667E1,2.482076667E1,2.292755627E2,9.228969216E-1,5.749000168E1,1.600000024E0,8.800000191E0
2.305086795E2,6.778468000E1,2.482079333E1,2.290755868E2,9.192938805E-1,6.433999634E1,1.600000024E0,8.800000191E0
2.315114317E2,6.778468500E1,2.482081000E1,2.287755949E2,8.770866394E-1,5.588999939E1,1.600000024E0,8.899999619E0
2.325080160E2,6.778468667E1,2.482083833E1,2.287756249E2,8.132610917E-1,5.958000183E1,1.600000024E0,9.000000000E0
2.335087324E2,6.778469000E1,2.482085667E1,2.286756389E2,7.679655552E-1,4.763000107E1,1.600000024E0,9.199999809E0
2.345084348E2,6.778469500E1,2.482087833E1,2.286756531E2,7.298761010E-1,3.890000153E1,1.600000024E0,9.300000191E0
2.355086352E2,6.778470167E1,2.482090333E1,2.288756673E2,7.571563721E-1,3.745000076E1,1.600000024E0,8.800000191E0
2.365081680E2,6.778470667E1,2.482092500E1,2.286756814E2,7.576711178E-1,4.725999832E1,1.600000024E0,8.800000191E0
2.375112077E2,6.778471000E1,2.482094833E1,2.287757014E2,7.798041701E-1,4.931000137E1,1.600000024E0,8.500000000E0
2.385080102E2,6.778471333E1,2.482097500E1,2.287757255E2,7.736275196E-1,5.827000046E1,1.600000024E0,9.000000000E0
2.395087026E2,6.778471333E1,2.482100500E1,2.289757614E2,7.638477683E-1,7.516999817E1,1.600000024E0,9.000000000E0
2.405098723E2,6.778471667E1,2.482103500E1,2.291757894E2,7.808336020E-1,6.523000336E1,1.600000024E0,9.000000000E0
2.415082545E2,6.778471833E1,2.482106833E1,2.293758253E2,7.895838618E-1,3.343999863E1,1.600000024E0,8.899999619E0
2.425089546E2,6.778472167E1,2.482110000E1,2.297758553E2,7.792894244E-1,6.306000137E1,1.600000024E0,8.300000191E0
2.435085869E2,6.778472167E1,2.482113000E1,2.301758912E2,7.942163944E-1,7.690000153E1,1.600000024E0,8.100000381E0
2.445082484E2,6.778472667E1,2.482116500E1,2.304759213E2,7.993636131E-1,7.390000153E1,1.600000024E0,8.300000191E0
2.455086675E2,6.778472667E1,2.482120500E1,2.306759691E2,8.009077907E-1,7.548000336E1,1.600000024E0,8.100000381E0
2.465088986E2,6.778472833E1,2.482123167E1,2.308759971E2,8.014224768E-1,6.638999939E1,1.600000024E0,8.500000000E0
2.475088028E2,6.778473167E1,2.482125833E1,2.309760211E2,7.818630338E-1,6.309999847E1,1.600000024E0,8.399999619E0
2.485090157E2,6.778473333E1,2.482128167E1,2.311760451E2,7.720833421E-1,6.544000244E1,1.600000024E0,8.600000381E0
2.495117283E2,6.778473500E1,2.482130500E1,2.312760691E2,7.525238991E-1,6.858999634E1,1.500000000E0,8.300000191E0
2.505080546E2,6.778473500E1,2.482132833E1,2.314760970E2,7.015663981E-1,7.298999786E1,1.500000000E0,8.399999619E0
2.515102714E2,6.778473667E1,2.482135000E1,2.313761190E2,6.974486113E-1,6.987999725E1,1.500000000E0,8.300000191E0
2.525084309E2,6.778474000E1,2.482137500E1,2.314761410E2,7.077430487E-1,6.648000336E1,1.500000000E0,8.600000381E0
2.535083733E2,6.778474167E1,2.482140500E1,2.316761730E2,7.134050131E-1,6.480000305E1,1.500000000E0,8.800000191E0
2.545091007E2,6.778474000E1,2.482143000E1,2.316762068E2,6.933308244E-1,6.983999634E1,1.600000024E0,8.800000191E0
2.555104339E2,6.778474333E1,2.482145167E1,2.318762249E2,6.907572150E-1,6.338000107E1,1.600000024E0,8.600000381E0
2.565091232E2,6.778474333E1,2.482148000E1,2.321762588E2,6.799480319E-1,6.018000031E1,1.600000024E0,8.600000381E0
2.575088523E2,6.778474167E1,2.482151000E1,2.325762986E2,6.825216413E-1,7.411000061E1,1.600000024E0,8.800000191E0
2.585092022E2,6.778474333E1,2.482152667E1,2.330763146E2,6.681094170E-1,7.401000214E1,1.600000024E0,9.000000000E0
2.595093111E2,6.778474500E1,2.482154833E1,2.334763366E2,6.686241627E-1,7.856999969E1,1.500000000E0,9.300000191E0
2.605089572E2,6.778474667E1,2.482157500E1,2.337763645E2,6.876688600E-1,6.711000061E1,1.500000000E0,9.399999619E0
2.615091963E2,6.778474667E1,2.482160167E1,2.340763964E2,6.959044337E-1,7.744999695E1,1.500000000E0,8.899999619E0
2.625091370E2,6.778474833E1,2.482161667E1,2.340764104E2,6.701683402E-1,8.247000122E1,1.500000000E0,8.600000381E0
2.635085456E2,6.778474833E1,2.482163167E1,2.339764284E2,6.372261047E-1,8.450000000E1,1.500000000E0,8.800000191E0
2.645087902E2,6.778475000E1,2.482165000E1,2.339764464E2,6.253874898E-1,7.619000244E1,1.399999976E0,8.399999619E0
2.655092838E2,6.778475333E1,2.482164833E1,2.338764365E2,5.842097402E-1,8.805999756E1,1.399999976E0,8.100000381E0
2.665091324E2,6.778475333E1,2.482166167E1,2.338764525E2,5.595030785E-1,8.408000183E1,1.399999976E0,8.399999619E0
2.675091566E2,6.778475333E1,2.482168000E1,2.338764744E2,5.574441552E-1,6.626000214E1,1.399999976E0,8.699999809E0
2.685092739E2,6.778475333E1,2.482169333E1,2.337764904E2,5.708269477E-1,8.490000153E1,1.399999976E0,9.000000000E0
2.695099927E2,6.778475500E1,2.482170833E1,2.335765044E2,5.615619421E-1,8.172000122E1,1.399999976E0,9.300000191E0
2.705107632E2,6.778475667E1,2.482172000E1,2.334765144E2,5.383994579E-1,6.902999878E1,1.399999976E0,9.300000191E0
2.715082869E2,6.778475833E1,2.482173167E1,2.333765244E2,5.075160861E-1,7.120999908E1,1.399999976E0,9.100000381E0
2.725086936E2,6.778475833E1,2.482175167E1,2.331765483E2,5.219283104E-1,8.816000366E1,1.500000000E0,9.100000381E0
2.735099745E2,6.778475667E1,2.482177000E1,2.331765742E2,5.106044412E-1,9.318000031E1,1.500000000E0,8.800000191E0
2.745086155E2,6.778475833E1,2.482179333E1,2.331765982E2,5.250166655E-1,7.019999695E1,1.600000024E0,8.899999619E0
2.755083126E2,6.778475833E1,2.482181667E1,2.334766261E2,5.358258486E-1,8.209999847E1,1.600000024E0,8.699999809E0
2.765100616E2,6.778475833E1,2.482183500E1,2.337766480E2,5.420024991E-1,8.612000275E1,1.600000024E0,8.899999619E0
2.775083726E2,6.778475667E1,2.482185833E1,2.340766798E2,5.342816710E-1,8.787999725E1,1.600000024E0,8.500000000E0
2.785083428E2,6.778475500E1,2.482188333E1,2.341767137E2,5.270755291E-1,8.268000031E1,1.500000000E0,8.300000191E0
2.795118435E2,6.778475500E1,2.482190333E1,2.344767376E2,5.461202860E-1,8.433999634E1,1.500000000E0,8.199999809E0
2.805082071E2,6.778475500E1,2.482192167E1,2.345767595E2,5.703122020E-1,8.179000092E1,1.500000000E0,8.000000000E0
2.815095899E2,6.778475667E1,2.482194667E1,2.347767855E2,6.150930524E-1,8.580999756E1,1.500000000E0,8.300000191E0
2.825085952E2,6.778475833E1,2.482197000E1,2.349768095E2,6.238433123E-1,8.529000092E1,1.500000000E0,8.199999809E0
2.835079976E2,6.778475667E1,2.482198667E1,2.349768333E2,6.444322467E-1,9.877999878E1,1.500000000E0,7.900000095E0
2.845088139E2,6.778475667E1,2.482200833E1,2.350768593E2,6.485499740E-1,9.441999817E1,1.500000000E0,8.100000381E0
2.855094567E2,6.778476000E1,2.482202833E1,2.351768753E2,6.639916897E-1,7.775000000E1,1.500000000E0,8.300000191E0
2.865084758E2,6.778476333E1,2.482204333E1,2.352768854E2,6.706830263E-1,7.813999939E1,1.600000024E0,8.399999619E0
2.875085582E2,6.778476333E1,2.482205667E1,2.354769013E2,6.439175010E-1,6.329000092E1,1.600000024E0,8.699999809E0
2.885108391E2,6.778476833E1,2.482207333E1,2.355769095E2,6.475205421E-1,5.266999817E1,1.500000000E0,8.600000381E0
2.895081856E2,6.778476833E1,2.482209333E1,2.355769334E2,6.464911103E-1,7.037000275E1,1.600000024E0,8.699999809E0
2.905103985E2,6.778477000E1,2.482211833E1,2.356769594E2,6.382555366E-1,7.269999695E1,1.500000000E0,8.500000000E0
2.915107755E2,6.778477000E1,2.482213333E1,2.357769773E2,6.156077981E-1,5.561999893E1,1.600000024E0,8.500000000E0
2.925077363E2,6.778477167E1,2.482215000E1,2.354769933E2,6.006808281E-1,6.423999786E1,1.600000024E0,8.600000381E0
2.935080936E2,6.778477000E1,2.482216500E1,2.353770152E2,5.903863907E-1,9.230000305E1,1.600000024E0,8.600000381E0
2.945100203E2,6.778477000E1,2.482218167E1,2.353770351E2,5.656797290E-1,7.765000153E1,1.600000024E0,8.500000000E0
2.955083647E2,6.778476833E1,2.482219667E1,2.354770570E2,5.579589009E-1,8.430000305E1,1.500000000E0,8.600000381E0
2.965085797E2,6.778476833E1,2.482221833E1,2.355770829E2,5.697975159E-1,7.105999756E1,1.500000000E0,8.399999619E0
2.975107403E2,6.778476833E1,2.482224000E1,2.356771088E2,6.135488749E-1,8.273000336E1,1.500000000E0,8.000000000E0
2.985080804E2,6.778477000E1,2.482225833E1,2.356771268E2,6.125194430E-1,7.243000031E1,1.500000000E0,8.000000000E0
2.995092813E2,6.778477167E1,2.482227667E1,2.356771448E2,6.269316673E-1,6.409999847E1,1.600000024E0,8.300000191E0
3.005085939E2,6.778477333E1,2.482229167E1,2.359771588E2,6.253874898E-1,6.102000046E1,1.600000024E0,8.100000381E0
3.015084450E2,6.778477167E1,2.482231167E1,2.362771867E2,6.140636206E-1,7.375000000E1,1.500000000E0,8.000000000E0
3.025106705E2,6.778477167E1,2.482232833E1,2.368772066E2,6.027397513E-1,7.919999695E1,1.500000000E0,8.199999809E0
3.035114502E2,6.778477167E1,2.482235167E1,2.372772345E2,6.269316673E-1,6.295000076E1,1.500000000E0,7.800000191E0
3.045080902E2,6.778477333E1,2.482237167E1,2.376772545E2,6.434027553E-1,5.763000107E1,1.600000024E0,8.000000000E0
3.055102142E2,6.778477167E1,2.482239167E1,2.378772824E2,6.500941515E-1,8.608000183E1,1.500000000E0,8.000000000E0
3.065100508E2,6.778477000E1,2.482241000E1,2.380773082E2,6.536971927E-1,8.873999786E1,1.600000024E0,8.600000381E0
3.075081985E2,6.778476833E1,2.482243167E1,2.382773381E2,6.603885889E-1,7.916999817E1,1.600000024E0,8.800000191E0
3.085084406E2,6.778477000E1,2.482245333E1,2.383773601E2,6.773744226E-1,4.622999954E1,1.600000024E0,8.899999619E0
3.095110877E2,6.778477167E1,2.482246500E1,2.385773701E2,6.459763646E-1,8.420999908E1,1.600000024E0,8.600000381E0
3.105077797E2,6.778477000E1,2.482248500E1,2.387773979E2,6.475205421E-1,8.561000061E1,1.600000024E0,8.600000381E0
3.115085426E2,6.778477167E1,2.482250500E1,2.387774179E2,6.650211215E-1,7.916999817E1,1.600000024E0,8.800000191E0
3.125089505E2,6.778477333E1,2.482252167E1,2.388774339E2,6.778891683E-1,8.098000336E1,1.600000024E0,9.000000000E0
3.135084210E2,6.778477500E1,2.482253833E1,2.390774499E2,6.629621983E-1,8.140000153E1,1.600000024E0,8.199999809E0
3.145096186E2,6.778477667E1,2.482255000E1,2.391774600E2,6.655358076E-1,7.080000305E1,1.600000024E0,8.399999619E0
3.155111160E2,6.778477667E1,2.482256500E1,2.393774779E2,6.675947309E-1,7.461000061E1,1.600000024E0,7.800000191E0
3.165085146E2,6.778478167E1,2.482258333E1,2.396774880E2,6.696535945E-1,7.341999817E1,1.500000000E0,7.699999809E0
3.175109776E2,6.778478500E1,2.482259833E1,2.396774981E2,6.526677608E-1,7.341000366E1,1.500000000E0,8.100000381E0
3.185110686E2,6.778478833E1,2.482260833E1,2.395775022E2,6.341377497E-1,8.163999939E1,1.500000000E0,8.100000381E0
3.195084154E2,6.778479000E1,2.482261500E1,2.395775063E2,6.377408504E-1,7.300000000E1,1.500000000E0,8.399999619E0
3.205098976E2,6.778479000E1,2.482262333E1,2.397775162E2,6.130341887E-1,7.287999725E1,1.500000000E0,8.399999619E0
3.215115607E2,6.778479000E1,2.482264000E1,2.397775362E2,5.734005570E-1,8.347000122E1,1.500000000E0,7.699999809E0
3.225084327E2,6.778479000E1,2.482265167E1,2.400775501E2,5.456055403E-1,1.021500015E2,1.500000000E0,7.800000191E0
3.235099706E2,6.778478833E1,2.482266500E1,2.404775700E2,5.270755291E-1,8.619000244E1,1.500000000E0,7.699999809E0
3.245094419E2,6.778478667E1,2.482266833E1,2.408775779E2,4.869272113E-1,7.969999695E1,1.399999976E0,7.400000095E0
3.255109431E2,6.778478833E1,2.482267500E1,2.408775820E2,4.442052841E-1,5.388999939E1,1.399999976E0,7.699999809E0
3.265083887E2,6.778478833E1,2.482268833E1,2.407775979E2,4.117777646E-1,5.881999969E1,1.399999976E0,7.500000000E0
3.275096829E2,6.778478667E1,2.482269500E1,2.407776098E2,0.000000000E0,8.336000061E1,1.399999976E0,7.699999809E0
3.285083600E2,6.778478667E1,2.482270500E1,2.408776218E2,0.000000000E0,9.309999847E1,1.399999976E0,7.800000191E0
3.295077997E2,6.778478500E1,2.482272000E1,2.406776436E2,0.000000000E0,8.583999634E1,1.399999976E0,7.900000095E0
3.305104683E2,6.778478500E1,2.482272000E1,2.406776436E2,0.000000000E0,8.583999634E1,1.399999976E0,7.900000095E0
3.315085016E2,6.778478500E1,2.482272000E1,2.406776436E2,0.000000000E0,8.583999634E1,1.399999976E0,7.699999809E0
3.325083886E2,6.778478667E1,2.482276833E1,2.411776975E2,3.489816785E-1,8.418000031E1,1.500000000E0,7.800000191E0
3.335099373E2,6.778478667E1,2.482279333E1,2.412777274E2,3.788355589E-1,8.272000122E1,1.500000000E0,7.599999905E0
3.345082158E2,6.778478333E1,2.482281333E1,2.414777592E2,4.282488823E-1,9.877999878E1,1.500000000E0,7.599999905E0
3.355088477E2,6.778478000E1,2.482282667E1,2.415777830E2,4.756033421E-1,1.103000031E2,1.500000000E0,7.400000095E0
3.365097398E2,6.778477833E1,2.482283833E1,2.418778009E2,4.961922169E-1,1.075100021E2,1.500000000E0,7.400000095E0
3.375085062E2,6.778477500E1,2.482285167E1,2.419778247E2,5.409730673E-1,1.048300018E2,1.500000000E0,7.400000095E0
3.385085280E2,6.778477333E1,2.482287000E1,2.421778506E2,6.192108393E-1,1.058799973E2,1.500000000E0,7.599999905E0
3.395107569E2,6.778477000E1,2.482288667E1,2.422778784E2,6.871541739E-1,1.090999985E2,1.500000000E0,7.500000000E0
3.405082677E2,6.778476500E1,2.482290167E1,2.424779081E2,7.391411066E-1,1.203799973E2,1.500000000E0,7.500000000E0
3.415081053E2,6.778476500E1,2.482291000E1,2.426779181E2,7.411999702E-1,1.015100021E2,1.500000000E0,7.300000191E0
3.425097816E2,6.778476667E1,2.482292167E1,2.429779281E2,7.303908467E-1,1.000100021E2,1.500000000E0,7.500000000E0
3.435085986E2,6.778476500E1,2.482294167E1,2.432779559E2,7.303908467E-1,1.045599976E2,1.500000000E0,7.500000000E0
3.445105841E2,6.778476667E1,2.482295667E1,2.435779699E2,7.278172374E-1,9.605999756E1,1.500000000E0,7.099999905E0
3.455095677E2,6.778476500E1,2.482297000E1,2.438779898E2,7.262730598E-1,8.619999695E1,1.500000000E0,7.300000191E0
3.465079435E2,6.778476000E1,2.482298167E1,2.441780156E2,7.339938879E-1,1.052399979E2,1.600000024E0,7.500000000E0
3.475085345E2,6.778475833E1,2.482299833E1,2.442780394E2,7.386263609E-1,1.061900024E2,1.500000000E0,7.000000000E0
3.485087321E2,6.778475500E1,2.482301833E1,2.444780712E2,7.293614149E-1,1.099300003E2,1.500000000E0,6.900000095E0
3.495082696E2,6.778475167E1,2.482303500E1,2.447780990E2,7.134050131E-1,1.248799973E2,1.500000000E0,7.099999905E0
3.505085320E2,6.778474833E1,2.482304500E1,2.447781188E2,7.134050131E-1,1.243399963E2,1.500000000E0,7.400000095E0
3.515100543E2,6.778474667E1,2.482306000E1,2.446781407E2,7.175228000E-1,1.249300003E2,1.500000000E0,7.300000191E0
3.525078278E2,6.778474167E1,2.482306833E1,2.446781625E2,7.386263609E-1,1.287200012E2,1.500000000E0,7.300000191E0
3.535082729E2,6.778473833E1,2.482307833E1,2.443781823E2,7.411999702E-1,1.337700043E2,1.500000000E0,7.400000095E0
3.545083112E2,6.778473500E1,2.482309333E1,2.440782081E2,7.607594728E-1,1.300700073E2,1.500000000E0,7.300000191E0
3.555079643E2,6.778473167E1,2.482310667E1,2.435782319E2,7.767158151E-1,1.433500061E2,1.500000000E0,6.800000191E0
3.565118946E2,6.778472667E1,2.482311667E1,2.433782556E2,7.921574712E-1,1.404400024E2,1.500000000E0,6.900000095E0
3.575101000E2,6.778472000E1,2.482313333E1,2.433782913E2,8.075991869E-1,1.267600021E2,1.500000000E0,7.099999905E0
3.585079721E2,6.778471500E1,2.482315167E1,2.434783250E2,8.359088898E-1,1.529900055E2,1.500000000E0,7.000000000E0
3.595085619E2,6.778471000E1,2.482316833E1,2.436783567E2,8.328205347E-1,1.522100067E2,1.500000000E0,7.099999905E0
3.605103314E2,6.778470500E1,2.482318667E1,2.436783905E2,8.544389009E-1,1.321900024E2,1.500000000E0,7.199999809E0
3.615083183E2,6.778470167E1,2.482320000E1,2.435784143E2,8.827486038E-1,1.343600006E2,1.500000000E0,7.199999809E0
3.625102598E2,6.778469500E1,2.482321167E1,2.434784440E2,9.048816562E-1,1.562799988E2,1.500000000E0,7.099999905E0
3.635112013E2,6.778468833E1,2.482321333E1,2.435784617E2,9.048816562E-1,1.783699951E2,1.500000000E0,7.099999905E0
3.645103029E2,6.778468000E1,2.482321333E1,2.437784813E2,8.873811364E-1,1.728699951E2,1.500000000E0,7.199999809E0
3.655102093E2,6.778467333E1,2.482322833E1,2.439785150E2,8.889252543E-1,1.491799927E2,1.500000000E0,7.300000191E0
3.665111459E2,6.778466333E1,2.482323667E1,2.440785485E2,9.059110880E-1,1.584799957E2,1.500000000E0,7.099999905E0
3.675086991E2,6.778465500E1,2.482324333E1,2.440785762E2,9.223822355E-1,1.731100006E2,1.500000000E0,7.300000191E0
3.685100809E2,6.778464500E1,2.482324667E1,2.441786037E2,9.131172299E-1,1.882200012E2,1.500000000E0,6.900000095E0
3.695111093E2,6.778463333E1,2.482324000E1,2.438786233E2,9.208380580E-1,1.788300018E2,1.500000000E0,7.000000000E0
3.705083826E2,6.778462667E1,2.482323667E1,2.435786350E2,8.899547458E-1,1.609100037E2,1.500000000E0,7.000000000E0
3.715077994E2,6.778462000E1,2.482324500E1,2.434786607E2,8.606155515E-1,1.631799927E2,1.500000000E0,6.900000095E0
3.725098099E2,6.778461000E1,2.482324500E1,2.431786843E2,8.359088898E-1,1.750399933E2,1.500000000E0,6.900000095E0
3.735082949E2,6.778460000E1,2.482324167E1,2.431787039E2,8.487769365E-1,1.876199951E2,1.500000000E0,7.000000000E0
3.745095456E2,6.778459167E1,2.482324667E1,2.431787295E2,8.616449833E-1,1.801600037E2,1.500000000E0,7.099999905E0
3.755104237E2,6.778458167E1,2.482324833E1,2.430787551E2,8.611302972E-1,1.731999969E2,1.500000000E0,7.000000000E0
3.765102967E2,6.778457333E1,2.482325167E1,2.431787787E2,8.528947234E-1,1.665899963E2,1.500000000E0,6.900000095E0
3.775115383E2,6.778456500E1,2.482325500E1,2.431788024E2,8.410561085E-1,1.763000031E2,1.500000000E0,6.900000095E0
3.785102133E2,6.778455667E1,2.482326167E1,2.429788300E2,8.055402637E-1,1.760000000E2,1.500000000E0,6.599999905E0
3.795112881E2,6.778455000E1,2.482327167E1,2.425788577E2,8.096580505E-1,1.752899933E2,1.500000000E0,6.599999905E0
3.805097573E2,6.778453833E1,2.482328000E1,2.423788951E2,8.513505459E-1,1.605200043E2,1.500000000E0,6.699999809E0
3.815110074E2,6.778453000E1,2.482328500E1,2.421789208E2,8.642185926E-1,1.723000031E2,1.500000000E0,6.900000095E0
3.825083604E2,6.778452167E1,2.482328500E1,2.421789404E2,8.868663907E-1,1.861699982E2,1.500000000E0,6.900000095E0
3.835105850E2,6.778451167E1,2.482328333E1,2.423789620E2,8.853222132E-1,1.940399933E2,1.500000000E0,6.800000191E0
3.845097303E2,6.778450167E1,2.482328833E1,2.424789916E2,9.126024842E-1,1.786100006E2,1.500000000E0,6.900000095E0
3.855083511E2,6.778449167E1,2.482329500E1,2.426790231E2,9.198086262E-1,1.778600006E2,1.500000000E0,7.000000000E0
3.865083286E2,6.778448167E1,2.482329500E1,2.426790467E2,9.254705310E-1,1.767299957E2,1.600000024E0,7.000000000E0
3.875096761E2,6.778447000E1,2.482329500E1,2.429790742E2,9.429711103E-1,1.653699951E2,1.500000000E0,7.099999905E0
3.885083287E2,6.778446000E1,2.482330000E1,2.430791038E2,9.568685889E-1,1.693899994E2,1.600000024E0,7.199999809E0
3.895076133E2,6.778445000E1,2.482330667E1,2.428791354E2,9.728249907E-1,1.683600006E2,1.600000024E0,7.500000000E0
3.905076967E2,6.778444000E1,2.482330667E1,2.437791589E2,9.537802935E-1,1.299199982E2,1.799999952E0,7.300000191E0
3.915076037E2,6.778443667E1,2.482331667E1,2.437791788E2,9.800311327E-1,1.690899963E2,2.000000000E0,7.599999905E0
3.925070853E2,6.778443000E1,2.482331667E1,2.432791945E2,9.795163870E-1,1.742500000E2,1.899999976E0,6.500000000E0
3.935112302E2,6.778442167E1,2.482332500E1,2.427792241E2,1.006281972E0,1.853200073E2,1.700000048E0,6.699999809E0
3.945078609E2,6.778440833E1,2.482331833E1,2.430792476E2,1.045400858E0,1.802299957E2,1.600000024E0,6.500000000E0
3.955110130E2,6.778439500E1,2.482331833E1,2.435792790E2,1.042827249E0,1.726399994E2,1.700000048E0,6.800000191E0
3.965108517E2,6.778438833E1,2.482332500E1,2.437793027E2,1.056724668E0,1.690899963E2,1.600000024E0,7.000000000E0
3.975100176E2,6.778437667E1,2.482333000E1,2.437793362E2,1.041797757E0,1.693099976E2,1.600000024E0,7.000000000E0
3.985113117E2,6.778436833E1,2.482333333E1,2.436793598E2,1.036135793E0,1.818200073E2,1.700000048E0,7.199999809E0
3.995113592E2,6.778436167E1,2.482333500E1,2.438793776E2,1.017605782E0,1.855500031E2,1.600000024E0,7.300000191E0
4.005100114E2,6.778435333E1,2.482333833E1,2.436794012E2,1.018635273E0,1.716900024E2,1.500000000E0,7.099999905E0
4.015086869E2,6.778434500E1,2.482334667E1,2.433794308E2,9.862077832E-1,1.760899963E2,1.500000000E0,7.400000095E0
4.025098637E2,6.778433667E1,2.482334833E1,2.431794525E2,9.656189084E-1,1.777500000E2,1.500000000E0,7.400000095E0
4.035082865E2,6.778432667E1,2.482335333E1,2.428794820E2,9.316472411E-1,1.723699951E2,1.500000000E0,7.199999809E0
