"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.058650080E-1,2.652302980E-1,1.760845184E-1,-4.487991333E-2
6.138617060E-1,-3.971654177E-1,3.348660469E-1,7.638549805E-2
6.218558650E-1,-3.363472223E-1,2.326116562E-1,-7.757329941E-2
6.298847160E-1,-2.025682926E-1,2.311844826E-1,-3.224835396E-1
6.378774140E-1,-2.516839504E-1,2.468857765E-1,-3.375468254E-1
6.458761120E-1,-2.357152700E-1,3.014130592E-1,-1.422276497E-1
6.538688090E-1,-1.371566057E-1,2.670297623E-1,-1.403489113E-1
6.618641990E-1,-3.379762173E-2,2.033481598E-1,-2.337770462E-1
6.698601270E-1,3.551077843E-1,1.016292572E-1,-3.085718155E-1
6.778881330E-1,-2.306926250E-2,1.138668060E-1,-1.380386353E-1
6.858842150E-1,-5.391645432E-2,7.146072388E-2,-2.167806625E-1
6.938776820E-1,1.174330711E-1,8.242225647E-2,-2.436032295E-1
7.018728410E-1,2.051650286E-1,3.260040283E-2,-1.474337578E-1
7.098715390E-1,2.588949203E-1,9.165191650E-2,-3.782558441E-2
7.178638520E-1,1.946269274E-1,8.717679977E-2,7.125091553E-2
7.258617030E-1,1.221764088E-2,4.818916321E-3,3.569335938E-1
7.338869390E-1,-6.100833416E-2,1.069021225E-2,3.961701393E-1
7.418845600E-1,-1.725029945E-2,9.918260574E-2,2.639174461E-1
7.498774880E-1,-1.355733871E-1,1.888747215E-1,2.356915474E-1
7.578738010E-1,-2.617266178E-1,3.632559776E-1,1.199645996E-1
7.658712670E-1,-3.292568922E-1,4.377331734E-1,-1.143035889E-1
7.738629660E-1,-3.106961250E-1,4.726552963E-1,-3.092908859E-1
7.818598940E-1,-2.962297201E-1,4.688310623E-1,-3.984551430E-1
7.898549760E-1,-2.354429960E-1,4.364085197E-1,-2.380127907E-1
7.978811350E-1,-2.248471975E-1,4.077939987E-1,-2.003479004E-1
8.058778330E-1,-1.794440746E-1,4.014978409E-1,-1.602988243E-1
8.138732230E-1,-1.840653419E-1,4.061107635E-1,-2.742900848E-1
8.218709970E-1,-1.298305988E-1,3.725957870E-1,-2.440333366E-1
8.298645400E-1,-2.653735876E-1,3.785190582E-1,-2.467384338E-1
8.378593140E-1,-3.912835121E-1,3.910694122E-1,-7.128906250E-2
8.458880130E-1,-4.283182621E-1,4.266862869E-1,9.310245514E-3
8.538812490E-1,-4.622647762E-1,4.727911949E-1,-4.066753387E-2
8.618777920E-1,-4.800055027E-1,4.941477776E-1,-4.695081711E-2
8.698720280E-1,-5.730375051E-1,5.281949043E-1,-6.586027145E-2
8.778679570E-1,-5.456292629E-1,4.757194519E-1,-1.061158180E-1
8.858630390E-1,-4.203130007E-1,4.108405113E-1,-4.598045349E-2
8.938602750E-1,-2.768845558E-1,3.302788734E-1,-5.212259293E-2
9.018553570E-1,-1.693131924E-1,1.787166595E-1,-2.677989006E-1
9.098805930E-1,-1.052310467E-1,3.264999390E-2,-3.812999725E-1
9.178775220E-1,-2.797639370E-2,-1.185178757E-2,-3.901395798E-1
9.258722960E-1,7.460820675E-2,-8.849239349E-2,-3.330273628E-1
9.338674550E-1,1.920329332E-1,-1.217184067E-1,-2.041277885E-1
9.418630760E-1,2.063413858E-1,-1.648612022E-1,-2.422952652E-2
9.498585430E-1,1.436899900E-1,-1.905264854E-1,2.558588982E-1
9.578846250E-1,8.415305614E-2,-1.315836906E-1,4.035892487E-1
9.658825530E-1,-4.877579212E-2,-9.393453598E-2,4.672384262E-1
9.738772510E-1,-1.052041054E-1,-3.223133087E-2,5.305428505E-1
9.818727180E-1,-1.291310787E-1,-5.303049088E-2,4.936618805E-1
9.898684150E-1,-6.588625908E-2,-4.660844803E-2,4.337282181E-1
9.978631890E-1,-4.671490192E-2,-7.933092117E-2,3.048276901E-1
1.005861964E0,-2.338433266E-2,-3.322887421E-2,2.549810410E-1
1.013856354E0,-3.224861622E-2,1.541471481E-2,3.177623749E-1
1.021880128E0,-6.513237953E-2,-2.256870270E-2,4.909858704E-1
1.029876133E0,3.814446926E-2,-8.644104004E-3,5.785255432E-1
1.037872755E0,6.809890270E-2,-3.200292587E-2,5.833935738E-1
1.045868144E0,1.559411287E-1,-1.466150284E-1,5.064439774E-1
1.053864457E0,2.321392298E-1,-2.241883278E-1,3.418693542E-1
1.061858000E0,3.439817429E-1,-2.732267380E-1,2.611932755E-1
1.069884776E0,3.942058682E-1,-2.693042755E-1,2.758116722E-1
1.077883242E0,4.455183744E-1,-1.879816055E-1,3.300132751E-1
1.085878863E0,4.666732550E-1,-1.634211540E-1,3.041410446E-1
1.093873098E0,4.367595911E-1,-1.217455864E-1,1.889748573E-1
1.101868797E0,3.910598755E-1,-1.113829613E-1,-3.876733780E-2
1.109864186E0,4.068157673E-1,-1.623954773E-1,-2.507853508E-1
1.117860115E0,4.684351087E-1,-2.291488647E-1,-3.533406258E-1
1.125885735E0,4.786400199E-1,-3.926763535E-1,-1.717944145E-1
1.133880203E0,4.481672645E-1,-5.113706589E-1,2.958145142E-1
1.141370361E0,5.551446080E-1,-5.718264580E-1,8.054351807E-1
1.149872751E0,6.263488531E-1,-5.726170540E-1,9.294290543E-1
1.157867294E0,7.655943036E-1,-6.453566551E-1,9.709696770E-1
1.165862377E0,9.440417290E-1,-8.044066429E-1,8.544821739E-1
1.173858075E0,6.040624976E-1,-7.232875824E-1,5.311198235E-1
1.181883849E0,2.612706423E-1,-4.765357971E-1,2.864046097E-1
1.189880162E0,5.083030462E-2,-2.494611740E-1,1.097154617E-2
1.197876475E0,3.410911560E-2,-1.632599831E-1,-1.706390381E-1
1.205872250E0,3.571188450E-2,-2.773051262E-1,-2.431979179E-1
1.213866101E0,3.065718412E-1,-4.023981094E-1,-1.020627022E-1
1.221863875E0,4.935967028E-1,-4.234333038E-1,8.377790451E-2
1.229856881E0,5.645606518E-1,-3.834042549E-1,2.015919685E-1
1.237886732E0,5.692957640E-1,-3.305454254E-1,2.372112274E-1
1.245880507E0,4.700953066E-1,-2.780141830E-1,1.412739754E-1
1.253875050E0,4.084919095E-1,-2.380371094E-1,4.974365234E-3
1.261870671E0,3.416410089E-1,-2.462530136E-1,-1.263632774E-1
1.269865830E0,1.863807440E-1,-2.374825478E-1,-2.410664558E-1
1.277863912E0,1.430115104E-1,-2.698116302E-1,-2.457442284E-1
1.285856302E0,1.477593184E-1,-3.014230728E-1,-1.982259750E-1
